MatchID|Team1|mu_rel_infield_suc_t1|std_rel_infield_suc_t1|med_rel_infield_suc_t1|score01|HAteam01|Team2|mu_rel_infield_suc_t2|std_rel_infield_suc_t2|med_rel_infield_suc_t2|score02|HAteam02
330815120|san_francisco_giants|18.333333|19.567547|5.000000|4|Away|washington_nationals|53.500000|58.159981|39.000000|3|Home
330815124|pittsburgh_pirates|16.833333|22.266692|6.000000|5|Away|st._louis_cardinals|2.666667|4.678556|0.500000|6|Home
330815125|new_york_mets|15.600000|23.264565|4.000000|4|Away|san_diego_padres|8.000000|17.009801|0.000000|1|Home
330815130|seattle_mariners|7.166667|16.025154|0.000000|1|Away|tampa_bay_rays|16.000000|35.777088|0.000000|7|Home
330816101|colorado_rockies|50.500000|106.285386|2.000000|6|Away|baltimore_orioles|5.833333|10.237458|0.000000|3|Home
330816102|new_york_yankees|44.500000|62.890778|2.000000|10|Away|boston_red_sox|nan|nan|nan|3|[]
330816103|houston_astros|0.500000|0.763763|0.000000|8|Away|los_angeles_angels|1.666667|3.726780|0.000000|2|Home
330816108|cincinnati_reds|76.333333|116.946807|30.500000|6|Away|milwaukee_brewers|0.000000|0.000000|0.000000|7|Home
330816109|chicago_white_sox|nan|nan|nan|5|[]|minnesota_twins|4.000000|5.656854|0.000000|2|Home
330816111|cleveland_indians|18.666667|25.230053|6.500000|2|Away|oakland_athletics|2.000000|2.380476|1.500000|3|Home
330816113|seattle_mariners|7.166667|16.025154|0.000000|3|Away|texas_rangers|141.500000|53.187561|141.000000|1|Home
330816115|washington_nationals|28.000000|47.002128|1.500000|2|Away|atlanta_braves|5.200000|10.740577|0.000000|3|Home
330816116|st._louis_cardinals|18.333333|19.601587|12.500000|0|Away|chicago_cubs|10.333333|14.406789|0.500000|7|Home
330816122|los_angeles_dodgers|8.166667|7.492589|5.500000|4|Away|philadelphia_phillies|7.000000|15.652476|0.000000|0|Home
330816123|arizona_diamondbacks|14.833333|33.168342|0.000000|2|Away|pittsburgh_pirates|17.800000|30.616336|7.500000|6|Home
330816125|new_york_mets|15.600000|23.264565|4.000000|5|Away|san_diego_padres|5.400000|13.654303|0.000000|2|Home
330816128|san_francisco_giants|23.500000|16.439282|21.500000|14|Away|miami_marlins|1.333333|2.981424|0.000000|10|Home
