MatchID|Team1|InningsNumteam1|runrate_t1|score_t1|mean_sr_t1_bin_5|median_sr_t1_bin_5|mean_er_t1_bin_5|median_er_t1_bin_5|Team2|InningsNumteam2|runrate_t2|score_t2|mean_sr_t2_bin_5|median_sr_t2_bin_5|mean_er_t2_bin_5|median_er_t2_bin_5|Won_By|Winning_type
598024|Delhi_Daredevils|2|9.700000|165.000000|127.900526|126.319075|8.504857|8.308511|Mumbai_Indians|1|8.050000|161.000000|98.914252|120.502474|8.470570|8.544898|Delhi_Daredevils|9_wickets_(with_18_balls_remaining)
598023|Royal_Challengers_Bangalore|2|6.890000|123.000000|104.078478|122.992701|7.874589|7.944678|Rajasthan_Royals|1|5.940000|117.000000|100.453844|111.267606|7.883469|7.735781|Royal_Challengers_Bangalore|7_wickets_(with_13_balls_remaining)
598022|Kolkata_Knight_Riders|1|5.950000|119.000000|103.737028|115.467626|7.466551|7.400000|Chennai_Super_Kings|2|6.460000|124.000000|120.556535|120.454545|7.278087|7.517730|Chennai_Super_Kings|4_wickets_(with_5_balls_remaining)
598021|Sunrisers_Hyderabad|2|6.740000|127.000000|109.754386|111.111111|7.287143|7.783019|Kings_XI_Punjab|1|6.150000|123.000000|82.413602|113.636364|6.508642|6.543840|Sunrisers_Hyderabad|5_wickets_(with_7_balls_remaining)
598020|Delhi_Daredevils|2|4.740000|83.000000|134.054653|135.278975|7.537579|7.531353|Chennai_Super_Kings|1|8.450000|169.000000|120.556535|120.454545|7.278087|7.517730|Chennai_Super_Kings|86_runs
598019|Rajasthan_Royals|1|8.950000|179.000000|129.847433|135.077129|8.069114|8.069114|Mumbai_Indians|2|5.010000|92.000000|117.634107|120.502474|7.646686|7.574326|Rajasthan_Royals|87_runs
598018|Pune_Warriors|2|5.680000|108.000000|111.879338|108.552632|7.632948|8.026251|Sunrisers_Hyderabad|1|5.950000|119.000000|110.211988|111.805556|7.287143|7.783019|Sunrisers_Hyderabad|11_runs
598016|Kings_XI_Punjab|1|7.850000|157.000000|83.008082|113.636364|8.086023|6.994147|Kolkata_Knight_Riders|2|7.650000|153.000000|103.737028|115.467626|7.466551|7.400000|Kings_XI_Punjab|4_runs
598015|Chennai_Super_Kings|2|6.750000|135.000000|118.796619|120.454545|7.638743|7.524590|Pune_Warriors|1|7.950000|159.000000|112.679514|108.552632|7.872559|8.166667|Pune_Warriors|24_runs
598014|Rajasthan_Royals|2|6.510000|126.000000|103.877947|122.535211|8.157187|8.333333|Kings_XI_Punjab|1|6.580000|124.000000|95.746936|113.636364|8.135485|7.423077|Rajasthan_Royals|6_wickets_(with_4_balls_remaining)
598013|Kolkata_Knight_Riders|1|9.000000|180.000000|103.737028|115.467626|7.466551|7.400000|Sunrisers_Hyderabad|2|6.600000|132.000000|112.270141|117.980013|7.287143|7.783019|Kolkata_Knight_Riders|48_runs
598012|Chennai_Super_Kings|2|8.360000|166.000000|117.375149|120.454545|7.139264|7.517730|Royal_Challengers_Bangalore|1|8.250000|165.000000|101.840425|109.090909|7.838875|7.944678|Chennai_Super_Kings|4_wickets_(with_1_ball_remaining)
598011|Mumbai_Indians|1|9.150000|183.000000|117.634107|120.502474|7.646686|7.574326|Pune_Warriors|2|7.100000|142.000000|117.070496|117.165256|7.448872|7.520833|Mumbai_Indians|41_runs
598010|Delhi_Daredevils|1|5.700000|114.000000|134.731094|135.278975|7.497461|7.531353|Sunrisers_Hyderabad|2|5.940000|115.000000|112.270141|117.980013|7.287143|7.783019|Sunrisers_Hyderabad|3_wickets_(with_4_balls_remaining)
598009|Pune_Warriors|2|7.920000|148.000000|117.070496|117.165256|7.448872|7.520833|Rajasthan_Royals|1|7.250000|145.000000|92.538565|111.267606|8.666667|8.666667|Pune_Warriors|7_wickets_(with_8_balls_remaining)
598008|Royal_Challengers_Bangalore|2|9.020000|158.000000|87.684581|100.000000|7.268933|7.376238|Kolkata_Knight_Riders|1|7.700000|154.000000|112.864012|115.467626|7.396075|7.047619|Royal_Challengers_Bangalore|8_wickets_(with_15_balls_remaining)
598007|Kings_XI_Punjab|1|6.950000|138.000000|95.746936|113.636364|8.135485|7.423077|Chennai_Super_Kings|2|8.010000|139.000000|117.375149|120.454545|7.139264|7.517730|Chennai_Super_Kings|10_wickets_(with_16_balls_remaining)
598006|Mumbai_Indians|1|10.450000|209.000000|117.634107|120.502474|7.646686|7.574326|Delhi_Daredevils|2|8.250000|165.000000|130.914982|134.542759|7.797805|8.000000|Mumbai_Indians|44_runs
598048|Royal_Challengers_Bangalore|2|9.160000|162.000000|87.684581|100.000000|7.268933|7.376238|Sunrisers_Hyderabad|1|8.050000|161.000000|112.270141|117.980013|7.287143|7.783019|Royal_Challengers_Bangalore|7_wickets_(with_14_balls_remaining)
598005|Rajasthan_Royals|1|7.200000|144.000000|100.453844|111.267606|7.511292|7.138229|Kolkata_Knight_Riders|2|6.570000|125.000000|122.014339|120.114943|7.613502|7.752002|Rajasthan_Royals|19_runs
598003|Pune_Warriors|1|4.950000|99.000000|110.470747|114.364641|7.591097|7.900699|Kings_XI_Punjab|2|8.100000|100.000000|95.746936|113.636364|8.135485|7.423077|Kings_XI_Punjab|8_wickets_(with_46_balls_remaining)
598002|Chennai_Super_Kings|2|6.950000|139.000000|117.375149|120.454545|7.483802|7.524590|Mumbai_Indians|1|7.400000|148.000000|113.953423|124.788732|8.131405|8.489796|Mumbai_Indians|9_runs
598001|Delhi_Daredevils|2|8.000000|160.000000|114.206790|121.052632|8.447287|8.617021|Rajasthan_Royals|1|8.250000|165.000000|79.030852|100.000000|7.125000|7.125000|Rajasthan_Royals|5_runs
598000|Sunrisers_Hyderabad|1|6.300000|126.000000|112.270141|117.980013|7.287143|7.783019|Pune_Warriors|2|5.520000|104.000000|114.411323|117.165256|7.475423|7.634731|Sunrisers_Hyderabad|22_runs
597999|Royal_Challengers_Bangalore|1|7.800000|156.000000|95.774592|116.924095|7.816968|7.944678|Mumbai_Indians|2|7.700000|154.000000|107.114253|120.502474|8.128232|8.366882|Royal_Challengers_Bangalore|2_runs
597998|Kolkata_Knight_Riders|2|6.910000|129.000000|122.014339|120.114943|7.682907|7.960526|Delhi_Daredevils|1|6.400000|128.000000|114.206790|121.052632|8.447287|8.617021|Kolkata_Knight_Riders|6_wickets_(with_8_balls_remaining)
