MatchID|Team1|mean_AVG_t1_bin_1|mean_OBP_t1_bin_1|mean_OPS_t1_bin_1|mean_bat_WAR_t1_bin_1|mean_ERA_t1_bin_1|mean_WHIP_t1_bin_1|mean_pitch_WAR_t1_bin_1|HAteam01|Team2|mean_AVG_t2_bin_1|mean_OBP_t2_bin_1|mean_OPS_t2_bin_1|mean_bat_WAR_t2_bin_1|mean_ERA_t2_bin_1|mean_WHIP_t2_bin_1|mean_pitch_WAR_t2_bin_1|HAteam02
320418128|chicago_cubs|0.204643|0.248786|0.546857|0.421429|5.505200|1.655200|0.944000|Away|miami_marlins|0.253308|0.305154|0.747231|0.869231|3.591250|1.352500|2.070833|Home
320418129|pittsburgh_pirates|0.146048|0.193143|0.418190|0.447619|4.932250|1.511803|0.166894|Away|arizona_diamondbacks|0.194000|0.238286|0.533857|1.173810|3.372000|1.300778|1.141111|Home
320419103|oakland_athletics|0.153571|0.195786|0.463690|0.419048|5.372436|1.655449|0.201538|Away|los_angeles_angels|0.202462|0.244769|0.608923|2.138462|4.371486|1.452265|0.680375|Home
320419104|baltimore_orioles|0.191833|0.228222|0.528944|1.044444|5.947111|1.659333|0.596667|Away|chicago_white_sox|0.218143|0.292286|0.626786|0.557143|5.479167|1.555625|0.591667|Home
320419106|texas_rangers|0.281182|0.330727|0.766545|2.727273|3.305357|1.266786|1.514286|Away|detroit_tigers|0.195641|0.242974|0.561103|2.228205|4.672500|1.401250|-0.058333|Home
320419108|los_angeles_dodgers|0.170933|0.341600|0.585511|1.146667|3.442083|1.287917|1.345833|Away|milwaukee_brewers|0.182625|0.218312|0.512750|1.468750|5.369722|1.589111|0.151667|Home
320419110|minnesota_twins|0.199267|0.244667|0.540133|0.453333|4.897083|1.447917|0.195833|Away|new_york_yankees|0.159467|0.204733|0.477333|1.266667|3.611784|1.272188|1.569657|Home
320419112|cleveland_indians|0.302333|0.363417|0.800917|1.333333|3.973333|1.186667|0.866667|Away|seattle_mariners|0.201182|0.249818|0.540545|0.618182|3.392232|1.275536|2.033929|Home
320419114|tampa_bay_rays|0.172354|0.229229|0.521479|1.716667|4.093307|1.324696|0.540146|Away|toronto_blue_jays|0.212485|0.273485|0.653182|1.639394|3.678000|1.239000|1.095000|Home
320419120|houston_astros|0.158024|0.190786|0.419714|0.516667|4.090417|1.432667|0.605000|Away|washington_nationals|0.277574|0.323296|0.665426|0.429630|4.411850|1.418184|0.727381|Home
