MatchID|Team1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1_bin|score01|HAteam01|Team2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|score02|HAteam02
400277872|los_angeles_clippers|17.290909|23.814184|5.000000|92|away|san_antonio_spurs|70.076923|85.561909|31.500000|87|home
400277873|houston_rockets|6.878788|18.404146|3.000000|91|away|utah_jazz|17.230769|16.722412|5.000000|102|home
400277874|toronto_raptors|14.551282|23.780323|4.000000|98|away|philadelphia_76ers|12.051282|19.274600|5.000000|106|home
400277876|brooklyn_nets|6.272727|14.684093|3.000000|90|away|los_angeles_lakers|12.935897|37.384811|0.000000|95|home
400277877|toronto_raptors|14.551282|23.780323|4.000000|97|away|charlotte_bobcats|1.439394|2.132922|1.000000|98|home
400277878|detroit_pistons|30.717949|42.698675|4.000000|74|away|orlando_magic|3.628205|8.176121|2.000000|90|home
400277879|philadelphia_76ers|12.051282|19.274600|5.000000|83|away|cleveland_cavaliers|6.051282|7.645843|2.000000|92|home
400277881|san_antonio_spurs|47.075758|56.455483|29.000000|112|away|boston_celtics|17.151515|52.298457|2.000000|100|home
400277882|washington_wizards|4.923077|6.684788|3.000000|100|away|atlanta_hawks|13.717949|43.389972|1.000000|101|home
400277883|milwaukee_bucks|12.423077|17.934010|3.000000|106|away|miami_heat|60.384615|63.765442|41.500000|113|home
400277884|los_angeles_clippers|17.290909|23.814184|5.000000|111|away|oklahoma_city_thunder|26.807692|46.127209|4.000000|117|home
400277885|chicago_bulls|29.848485|45.938115|5.000000|89|away|houston_rockets|6.878788|18.404146|3.000000|93|home
400277886|denver_nuggets|20.525641|20.082346|17.500000|101|away|minnesota_timberwolves|7.772727|14.227370|3.000000|94|home
400277887|new_york_knicks|12.282051|26.762439|3.000000|111|away|dallas_mavericks|8.333333|22.303079|2.000000|114|home
400277888|portland_trail_blazers|9.666667|19.640791|3.000000|87|away|phoenix_suns|10.282051|18.058237|4.000000|114|home
400277889|los_angeles_lakers|12.935897|37.384811|0.000000|97|away|sacramento_kings|17.782051|13.583217|22.000000|113|home
400277890|brooklyn_nets|5.192308|13.149103|3.000000|93|away|golden_state_warriors|10.076923|11.368839|5.000000|102|home
400277891|atlanta_hawks|13.717949|43.389972|1.000000|101|away|charlotte_bobcats|1.439394|2.132922|1.000000|91|home
400277892|cleveland_cavaliers|6.051282|7.645843|2.000000|104|away|orlando_magic|3.628205|8.176121|2.000000|108|home
400277893|oklahoma_city_thunder|31.121212|48.920007|4.000000|100|away|boston_celtics|17.151515|52.298457|2.000000|108|home
400277894|los_angeles_clippers|17.290909|23.814184|5.000000|76|away|brooklyn_nets|5.820513|13.674554|3.000000|86|home
400277895|toronto_raptors|14.551282|23.780323|4.000000|90|away|detroit_pistons|30.717949|42.698675|4.000000|91|home
400277896|san_antonio_spurs|58.615385|79.008151|29.000000|104|away|indiana_pacers|16.772727|23.031464|4.000000|97|home
400277897|los_angeles_lakers|12.935897|37.384811|0.000000|98|away|memphis_grizzlies|39.106061|41.044369|34.000000|106|home
400277898|new_york_knicks|12.282051|26.762439|3.000000|103|away|houston_rockets|6.878788|18.404146|3.000000|131|home
400277899|golden_state_warriors|10.076923|11.368839|5.000000|91|away|denver_nuggets|20.525641|20.082346|17.500000|102|home
400277900|sacramento_kings|17.782051|13.583217|22.000000|102|away|utah_jazz|21.217949|18.351726|15.500000|104|home
400277902|minnesota_timberwolves|7.690909|14.546318|4.000000|95|away|portland_trail_blazers|9.564103|19.478186|3.000000|103|home
400277903|oklahoma_city_thunder|31.121212|48.920007|4.000000|116|away|philadelphia_76ers|12.051282|19.274600|5.000000|109|home
400277904|charlotte_bobcats|1.439394|2.132922|1.000000|108|away|washington_wizards|4.923077|6.684788|3.000000|106|home
400277905|los_angeles_clippers|17.290909|23.814184|5.000000|93|away|atlanta_hawks|13.794872|43.367942|1.000000|104|home
400277906|cleveland_cavaliers|6.051282|7.645843|2.000000|108|away|miami_heat|64.230769|62.016111|58.000000|110|home
400277907|los_angeles_lakers|12.935897|37.384811|0.000000|115|away|dallas_mavericks|8.333333|22.303079|2.000000|89|home
400277908|chicago_bulls|29.848485|45.938115|5.000000|93|away|milwaukee_bucks|12.423077|17.934010|3.000000|86|home
400277909|utah_jazz|21.217949|18.351726|15.500000|97|away|sacramento_kings|17.782051|13.583217|22.000000|108|home
400277910|minnesota_timberwolves|7.772727|14.227370|3.000000|85|away|golden_state_warriors|10.076923|11.368839|5.000000|96|home
400277911|san_antonio_spurs|58.615385|79.008151|29.000000|111|away|toronto_raptors|14.551282|23.780323|4.000000|106|home
400277912|detroit_pistons|30.717949|42.698675|4.000000|100|away|new_york_knicks|12.282051|26.762439|3.000000|121|home
400277913|portland_trail_blazers|9.564103|19.478186|3.000000|85|away|brooklyn_nets|5.820513|13.674554|3.000000|98|home
400277914|phoenix_suns|10.282051|18.058237|4.000000|101|away|philadelphia_76ers|12.051282|19.274600|5.000000|104|home
