MatchID|Team1ID|Team1|score_t1|mu_rel_suc_t1|std_rel_suc_t1|med_rel_suc_t1|HAteam01|Team2ID|Team2|score_t2|mu_rel_suc_t2|std_rel_suc_t2|med_rel_suc_t2|HAteam02
345703|381|norwich_city|2|3.07189542484|4.6132865451|0.0|home|350|wigan_athletic|1|6.24836601307|8.7591453949|3.0|away
345704|366|sunderland|1|4.47058823529|5.16152030034|4.0|home|363|chelsea|3|8.19607843137|14.7351603976|0.0|away
345705|371|west_ham_united|2|1.80392156863|5.84109715669|0.0|home|364|liverpool|3|8.16993464052|14.1318676865|3.0|away
345706|382|manchester_city|2|10.4379084967|10.5556911301|8.0|home|360|manchester_united|3|16.1307189542|18.3169955047|11.0|away
345707|370|fulham|2|3.81699346405|9.89384036839|0.0|home|361|newcastle_united|1|7.56862745098|8.02753814717|5.0|away
345708|318|swansea_city|3|1.87581699346|3.89958982498|0.0|home|381|norwich_city|4|4.24183006536|4.85882546364|0.0|away
345709|350|wigan_athletic|2|4.67320261438|7.49887143174|1.0|home|334|queens_park_rangers|2|2.22222222222|3.9757799781|0.0|away
345710|362|aston_villa|0|2.87581699346|4.96039248584|0.0|home|336|stoke_city|0|8.67320261438|11.3476438287|5.0|away
345711|368|everton|2|8.39215686275|12.8501851639|2.0|home|367|tottenham_hotspur|1|2.86274509804|6.8083559037|0.0|away
345712|359|arsenal|2|4.52941176471|6.52802788137|1.0|home|383|west_bromwich_albion|0|6.23529411765|7.613854508|3.0|away
345713|334|queens_park_rangers|1|2.17647058824|4.2366555546|0.0|home|362|aston_villa|1|2.87581699346|4.96039248584|0.0|away
345714|371|west_ham_united|3|1.78676470588|5.98823366896|0.0|home|363|chelsea|1|6.60784313725|12.5605645423|0.0|away
345715|382|manchester_city|1|11.0326797386|10.3982265335|10.0|home|368|everton|1|11.2745098039|15.154643066|5.0|away
345716|383|west_bromwich_albion|0|5.01960784314|7.09180746915|0.0|home|336|stoke_city|1|8.22222222222|11.8250991634|3.0|away
