matchid|datetime|year
320326017|2012-03-26 00:00:00|2012
320326018|2012-03-26 00:00:00|2012
320326027|2012-03-26 00:00:00|2012
320326028|2012-03-26 00:00:00|2012
320326030|2012-03-26 00:00:00|2012
320327006|2012-03-27 00:00:00|2012
320327009|2012-03-27 00:00:00|2012
320327015|2012-03-27 00:00:00|2012
320327020|2012-03-27 00:00:00|2012
320327021|2012-03-27 00:00:00|2012
320327022|2012-03-27 00:00:00|2012
320327029|2012-03-27 00:00:00|2012
320328001|2012-03-28 00:00:00|2012
320328002|2012-03-28 00:00:00|2012
320328005|2012-03-28 00:00:00|2012
320328009|2012-03-28 00:00:00|2012
320328012|2012-03-28 00:00:00|2012
320328017|2012-03-28 00:00:00|2012
320328018|2012-03-28 00:00:00|2012
320328023|2012-03-28 00:00:00|2012
320328028|2012-03-28 00:00:00|2012
320328030|2012-03-28 00:00:00|2012
320329011|2012-03-29 00:00:00|2012
320329013|2012-03-29 00:00:00|2012
320329014|2012-03-29 00:00:00|2012
320329022|2012-03-29 00:00:00|2012
320330001|2012-03-30 00:00:00|2012
320330004|2012-03-30 00:00:00|2012
320330005|2012-03-30 00:00:00|2012
320330009|2012-03-30 00:00:00|2012
320330010|2012-03-30 00:00:00|2012
320330012|2012-03-30 00:00:00|2012
320330016|2012-03-30 00:00:00|2012
320330019|2012-03-30 00:00:00|2012
320330026|2012-03-30 00:00:00|2012
320330027|2012-03-30 00:00:00|2012
320330028|2012-03-30 00:00:00|2012
320330030|2012-03-30 00:00:00|2012
320331008|2012-03-31 00:00:00|2012
320331012|2012-03-31 00:00:00|2012
320331013|2012-03-31 00:00:00|2012
320331015|2012-03-31 00:00:00|2012
320331018|2012-03-31 00:00:00|2012
320331020|2012-03-31 00:00:00|2012
320331023|2012-03-31 00:00:00|2012
320331024|2012-03-31 00:00:00|2012
320401002|2012-04-01 00:00:00|2012
320401010|2012-04-01 00:00:00|2012
320401013|2012-04-01 00:00:00|2012
320401019|2012-04-01 00:00:00|2012
320401021|2012-04-01 00:00:00|2012
320401022|2012-04-01 00:00:00|2012
320401025|2012-04-01 00:00:00|2012
320401028|2012-04-01 00:00:00|2012
320402004|2012-04-02 00:00:00|2012
320402006|2012-04-02 00:00:00|2012
320402022|2012-04-02 00:00:00|2012
320402023|2012-04-02 00:00:00|2012
320402025|2012-04-02 00:00:00|2012
320402027|2012-04-02 00:00:00|2012
320403005|2012-04-03 00:00:00|2012
320403008|2012-04-03 00:00:00|2012
320403011|2012-04-03 00:00:00|2012
320403013|2012-04-03 00:00:00|2012
320403014|2012-04-03 00:00:00|2012
320403023|2012-04-03 00:00:00|2012
320403028|2012-04-03 00:00:00|2012
320403029|2012-04-03 00:00:00|2012
320404001|2012-04-04 00:00:00|2012
320404002|2012-04-04 00:00:00|2012
320404003|2012-04-04 00:00:00|2012
320404006|2012-04-04 00:00:00|2012
320404012|2012-04-04 00:00:00|2012
320404014|2012-04-04 00:00:00|2012
320404015|2012-04-04 00:00:00|2012
320404016|2012-04-04 00:00:00|2012
320404020|2012-04-04 00:00:00|2012
320404022|2012-04-04 00:00:00|2012
320404026|2012-04-04 00:00:00|2012
320404027|2012-04-04 00:00:00|2012
320405004|2012-04-05 00:00:00|2012
320405008|2012-04-05 00:00:00|2012
320405019|2012-04-05 00:00:00|2012
320405023|2012-04-05 00:00:00|2012
320406001|2012-04-06 00:00:00|2012
320406006|2012-04-06 00:00:00|2012
320406007|2012-04-06 00:00:00|2012
320406011|2012-04-06 00:00:00|2012
320406013|2012-04-06 00:00:00|2012
320406014|2012-04-06 00:00:00|2012
320406015|2012-04-06 00:00:00|2012
320406017|2012-04-06 00:00:00|2012
320406024|2012-04-06 00:00:00|2012
320406024|2012-04-06 00:00:00|2012
320406026|2012-04-06 00:00:00|2012
320406028|2012-04-06 00:00:00|2012
320407003|2012-04-07 00:00:00|2012
320407009|2012-04-07 00:00:00|2012
320407011|2012-04-07 00:00:00|2012
320407012|2012-04-07 00:00:00|2012
320407015|2012-04-07 00:00:00|2012
320407020|2012-04-07 00:00:00|2012
320407021|2012-04-07 00:00:00|2012
320407029|2012-04-07 00:00:00|2012
320407030|2012-04-07 00:00:00|2012
320408002|2012-04-08 00:00:00|2012
320408014|2012-04-08 00:00:00|2012
320408017|2012-04-08 00:00:00|2012
320408018|2012-04-08 00:00:00|2012
320408023|2012-04-08 00:00:00|2012
320408024|2012-04-08 00:00:00|2012
320408025|2012-04-08 00:00:00|2012
320409003|2012-04-09 00:00:00|2012
320409007|2012-04-09 00:00:00|2012
320409011|2012-04-09 00:00:00|2012
320409015|2012-04-09 00:00:00|2012
320409016|2012-04-09 00:00:00|2012
320409019|2012-04-09 00:00:00|2012
320409022|2012-04-09 00:00:00|2012
320409026|2012-04-09 00:00:00|2012
320409029|2012-04-09 00:00:00|2012
320409030|2012-04-09 00:00:00|2012
320410004|2012-04-10 00:00:00|2012
320410005|2012-04-10 00:00:00|2012
320410006|2012-04-10 00:00:00|2012
320410014|2012-04-10 00:00:00|2012
