PlayerID_Name|Year|ERA|WHIP|WAR
1983__al_leiter|1989|5.670000|1.650000|-0.500000
1983__al_leiter|1990|0.000000|0.470000|0.200000
1983__al_leiter|1991|27.000000|4.800000|-0.200000
1983__al_leiter|1992|9.000000|3.000000|0.000000
1983__al_leiter|1993|4.110000|1.420000|1.200000
1983__al_leiter|1994|5.080000|1.700000|1.200000
1983__al_leiter|1995|3.640000|1.480000|5.400000
1983__al_leiter|1996|2.930000|1.260000|5.300000
1983__al_leiter|1997|4.340000|1.480000|1.100000
1983__al_leiter|1998|2.470000|1.150000|6.500000
1983__al_leiter|1999|4.230000|1.420000|2.200000
1983__al_leiter|2000|3.200000|1.210000|4.500000
1983__al_leiter|2001|3.310000|1.200000|2.800000
1983__al_leiter|2002|3.480000|1.290000|2.300000
1983__al_leiter|2003|3.990000|1.490000|3.400000
1983__al_leiter|2004|3.210000|1.350000|4.700000
1983__al_leiter|2005|5.490000|1.670000|0.100000
1983__al_leiter|2005|6.640000|1.850000|-1.200000
1983__al_leiter|2005|6.130000|1.770000|-1.100000
1996__jose_mesa|1987|6.030000|1.690000|-0.200000
1996__jose_mesa|1990|3.860000|1.370000|0.500000
1996__jose_mesa|1991|5.970000|1.720000|-1.300000
1996__jose_mesa|1992|5.190000|1.540000|-0.200000
1996__jose_mesa|1992|4.160000|1.450000|0.800000
1996__jose_mesa|1992|4.590000|1.490000|0.600000
1996__jose_mesa|1993|4.920000|1.410000|1.000000
1996__jose_mesa|1994|3.820000|1.330000|1.200000
1996__jose_mesa|1995|1.130000|1.030000|3.800000
1996__jose_mesa|1996|3.730000|1.340000|1.300000
1996__jose_mesa|1997|2.400000|1.350000|2.100000
1996__jose_mesa|1998|5.170000|1.500000|-0.600000
1996__jose_mesa|1998|3.520000|1.570000|0.100000
1996__jose_mesa|1998|4.570000|1.520000|-0.500000
1996__jose_mesa|1999|4.980000|1.810000|0.500000
1996__jose_mesa|2000|5.360000|1.610000|-0.300000
1996__jose_mesa|2001|2.340000|1.230000|0.900000
1996__jose_mesa|2002|2.970000|1.370000|1.100000
1996__jose_mesa|2003|6.520000|1.760000|-1.900000
1996__jose_mesa|2004|3.250000|1.410000|1.400000
1996__jose_mesa|2005|4.760000|1.540000|-0.200000
1996__jose_mesa|2006|3.860000|1.510000|1.200000
1996__jose_mesa|2007|12.340000|2.140000|-0.700000
1996__jose_mesa|2007|5.540000|1.360000|-1.000000
1996__jose_mesa|2007|7.110000|1.540000|-1.700000
2077__john_smoltz|1988|5.480000|1.670000|-0.300000
2077__john_smoltz|1989|2.940000|1.120000|3.500000
2077__john_smoltz|1990|3.850000|1.280000|3.300000
2077__john_smoltz|1991|3.800000|1.230000|5.100000
2077__john_smoltz|1992|2.850000|1.160000|3.300000
2077__john_smoltz|1993|3.620000|1.260000|2.100000
2077__john_smoltz|1994|4.140000|1.250000|0.800000
2077__john_smoltz|1995|3.180000|1.240000|4.000000
2077__john_smoltz|1996|2.940000|1.000000|7.100000
2077__john_smoltz|1997|3.020000|1.160000|4.500000
2077__john_smoltz|1998|2.900000|1.130000|3.100000
2077__john_smoltz|1999|3.190000|1.120000|4.200000
2077__john_smoltz|2001|3.360000|1.070000|0.800000
2077__john_smoltz|2002|3.250000|1.030000|1.100000
2077__john_smoltz|2003|1.120000|0.870000|3.200000
2077__john_smoltz|2004|2.760000|1.080000|2.000000
2077__john_smoltz|2005|3.060000|1.150000|4.700000
2077__john_smoltz|2006|3.490000|1.190000|5.600000
2077__john_smoltz|2007|3.110000|1.180000|4.300000
2077__john_smoltz|2008|2.570000|1.180000|0.800000
2077__john_smoltz|2009|8.330000|1.700000|-0.800000
2077__john_smoltz|2009|4.260000|1.180000|0.200000
2077__john_smoltz|2009|6.350000|1.450000|-0.600000
2111__scott_service|1988|1.690000|1.500000|0.200000
2111__scott_service|1992|14.140000|2.860000|-0.700000
2111__scott_service|1993|3.700000|1.230000|0.300000
2111__scott_service|1993|9.640000|1.930000|-0.100000
2111__scott_service|1993|4.300000|1.300000|0.200000
2111__scott_service|1994|7.360000|1.500000|-0.500000
2111__scott_service|1995|3.190000|1.230000|0.400000
2111__scott_service|1996|3.940000|1.440000|0.700000
2111__scott_service|1997|4.760000|1.290000|0.000000
2111__scott_service|1997|11.810000|2.250000|-0.400000
2111__scott_service|1997|6.450000|1.520000|-0.400000
2111__scott_service|1998|3.480000|1.260000|1.700000
2111__scott_service|1999|6.090000|1.710000|-0.500000
2111__scott_service|2000|6.380000|1.750000|-0.600000
2111__scott_service|2003|4.500000|1.440000|0.200000
2111__scott_service|2003|4.910000|1.250000|0.100000
2111__scott_service|2003|4.720000|1.340000|0.300000
2111__scott_service|2004|7.080000|1.670000|-0.500000
2112__curt_schilling|1988|9.820000|2.180000|-0.800000
2112__curt_schilling|1989|6.230000|1.500000|-0.100000
2112__curt_schilling|1990|2.540000|1.240000|1.100000
2112__curt_schilling|1991|3.810000|1.560000|-0.200000
2112__curt_schilling|1992|2.350000|0.990000|5.700000
2112__curt_schilling|1993|4.020000|1.240000|2.400000
2112__curt_schilling|1994|4.480000|1.400000|1.200000
2112__curt_schilling|1995|3.570000|1.050000|2.000000
2112__curt_schilling|1996|3.190000|1.090000|4.700000
2112__curt_schilling|1997|2.970000|1.050000|6.000000
2112__curt_schilling|1998|3.250000|1.110000|5.900000
2112__curt_schilling|1999|3.540000|1.130000|4.700000
2112__curt_schilling|2000|3.910000|1.260000|2.500000
2112__curt_schilling|2000|3.690000|1.100000|2.400000
2112__curt_schilling|2000|3.810000|1.180000|4.900000
2112__curt_schilling|2001|2.980000|1.080000|8.500000
2112__curt_schilling|2002|3.230000|0.970000|8.300000
2112__curt_schilling|2003|2.950000|1.050000|5.800000
2112__curt_schilling|2004|3.260000|1.060000|7.500000
2112__curt_schilling|2005|5.690000|1.530000|0.300000
2112__curt_schilling|2006|3.970000|1.220000|5.200000
2112__curt_schilling|2007|3.870000|1.250000|3.800000
2122__tom_gordon|1988|5.170000|1.470000|0.000000
2122__tom_gordon|1989|3.640000|1.280000|3.100000
2122__tom_gordon|1990|3.730000|1.490000|2.200000
2122__tom_gordon|1991|3.870000|1.370000|1.900000
2122__tom_gordon|1992|4.590000|1.450000|0.000000
2122__tom_gordon|1993|3.580000|1.300000|3.400000
2122__tom_gordon|1994|4.350000|1.440000|3.000000
2122__tom_gordon|1995|4.430000|1.550000|1.100000
2122__tom_gordon|1996|5.590000|1.640000|1.800000
2122__tom_gordon|1997|3.740000|1.280000|3.400000
2122__tom_gordon|1998|2.720000|1.010000|2.500000
2122__tom_gordon|1999|5.600000|1.640000|0.000000
2122__tom_gordon|2001|3.380000|1.060000|0.700000
2122__tom_gordon|2002|3.420000|1.560000|0.100000
2122__tom_gordon|2002|3.320000|1.110000|0.400000
2122__tom_gordon|2002|3.380000|1.360000|0.500000
2122__tom_gordon|2003|3.160000|1.190000|1.500000
2122__tom_gordon|2004|2.210000|0.880000|3.900000
2122__tom_gordon|2005|2.570000|1.090000|2.900000
2122__tom_gordon|2006|3.340000|1.260000|1.600000
2122__tom_gordon|2007|4.730000|1.330000|0.000000
2122__tom_gordon|2008|5.160000|1.620000|-0.700000
2122__tom_gordon|2009|21.600000|3.600000|-0.300000
2131__randy_johnson|1988|2.420000|1.150000|0.700000
2131__randy_johnson|1989|4.400000|1.440000|0.000000
2131__randy_johnson|1989|6.670000|1.850000|-0.800000
2131__randy_johnson|1989|4.820000|1.510000|-0.800000
2131__randy_johnson|1990|3.650000|1.340000|2.000000
2131__randy_johnson|1991|3.980000|1.500000|2.800000
2131__randy_johnson|1992|3.770000|1.420000|2.100000
2131__randy_johnson|1993|3.240000|1.110000|6.300000
2131__randy_johnson|1994|3.190000|1.190000|5.200000
2131__randy_johnson|1995|2.480000|1.050000|8.300000
2131__randy_johnson|1996|3.670000|1.190000|1.100000
2131__randy_johnson|1997|2.280000|1.050000|7.700000
2131__randy_johnson|1998|4.330000|1.290000|1.200000
