matchid|season|datetime|year
54437|2002-2003|2002-08-27 00:00:00|2002
54438|2002-2003|2002-08-28 00:00:00|2002
54439|2002-2003|2002-08-28 00:00:00|2002
54440|2002-2003|2002-08-28 00:00:00|2002
54441|2002-2003|2002-08-28 00:00:00|2002
54442|2002-2003|2002-08-28 00:00:00|2002
54443|2002-2003|2002-08-28 00:00:00|2002
54444|2002-2003|2002-08-28 00:00:00|2002
54445|2002-2003|2002-08-28 00:00:00|2002
54446|2002-2003|2002-08-31 00:00:00|2002
54447|2002-2003|2002-08-31 00:00:00|2002
54448|2002-2003|2002-08-31 00:00:00|2002
54449|2002-2003|2002-08-31 00:00:00|2002
54450|2002-2003|2002-08-31 00:00:00|2002
54451|2002-2003|2002-08-31 00:00:00|2002
54452|2002-2003|2002-08-31 00:00:00|2002
54454|2002-2003|2002-09-01 00:00:00|2002
54455|2002-2003|2002-09-02 00:00:00|2002
54457|2002-2003|2002-09-10 00:00:00|2002
54458|2002-2003|2002-09-11 00:00:00|2002
54460|2002-2003|2002-09-11 00:00:00|2002
54461|2002-2003|2002-09-11 00:00:00|2002
54462|2002-2003|2002-09-11 00:00:00|2002
54463|2002-2003|2002-09-11 00:00:00|2002
54464|2002-2003|2002-09-11 00:00:00|2002
54465|2002-2003|2002-09-11 00:00:00|2002
54466|2002-2003|2002-09-14 00:00:00|2002
54467|2002-2003|2002-09-14 00:00:00|2002
54468|2002-2003|2002-09-14 00:00:00|2002
54469|2002-2003|2002-09-14 00:00:00|2002
54470|2002-2003|2002-09-14 00:00:00|2002
54471|2002-2003|2002-09-14 00:00:00|2002
54472|2002-2003|2002-09-14 00:00:00|2002
54473|2002-2003|2002-09-16 00:00:00|2002
54474|2002-2003|2002-09-15 00:00:00|2002
54475|2002-2003|2002-09-15 00:00:00|2002
54476|2002-2003|2002-09-21 00:00:00|2002
54477|2002-2003|2002-09-22 00:00:00|2002
54478|2002-2003|2002-09-23 00:00:00|2002
54479|2002-2003|2002-09-21 00:00:00|2002
54480|2002-2003|2002-09-21 00:00:00|2002
54481|2002-2003|2002-09-21 00:00:00|2002
54482|2002-2003|2002-09-21 00:00:00|2002
54483|2002-2003|2002-09-21 00:00:00|2002
54484|2002-2003|2002-09-21 00:00:00|2002
54485|2002-2003|2002-09-28 00:00:00|2002
54486|2002-2003|2002-09-28 00:00:00|2002
54487|2002-2003|2002-09-28 00:00:00|2002
54488|2002-2003|2002-09-28 00:00:00|2002
54489|2002-2003|2002-09-28 00:00:00|2002
54490|2002-2003|2002-09-28 00:00:00|2002
54491|2002-2003|2002-09-28 00:00:00|2002
54492|2002-2003|2002-09-28 00:00:00|2002
54494|2002-2003|2002-09-30 00:00:00|2002
54495|2002-2003|2002-10-06 00:00:00|2002
54496|2002-2003|2002-10-06 00:00:00|2002
54497|2002-2003|2002-10-05 00:00:00|2002
54498|2002-2003|2002-10-05 00:00:00|2002
54499|2002-2003|2002-10-05 00:00:00|2002
54500|2002-2003|2002-10-05 00:00:00|2002
54501|2002-2003|2002-10-05 00:00:00|2002
54502|2002-2003|2002-10-06 00:00:00|2002
54503|2002-2003|2002-10-06 00:00:00|2002
54504|2002-2003|2002-10-07 00:00:00|2002
54506|2002-2003|2002-10-19 00:00:00|2002
